id,Listening_Time_minutes
750000,56.510303
750001,17.944033
750002,50.134823
750003,81.73795
750004,49.98091
750005,21.481491
750006,84.93566
750007,40.226414
750008,69.15716
750009,73.437614
750010,12.723772
750011,21.835392
750012,32.28777
750013,947.1936
750014,47.104847
750015,57.546635
750016,945.51855
750017,33.596207
750018,59.66464
750019,45.18168
750020,37.908634
750021,58.815025
750022,77.808876
750023,30.32144
750024,54.103996
750025,952.5971
750026,9.601095
750027,22.958294
750028,928.4953
750029,934.9908
750030,37.090908
750031,34.50175
750032,11.3534565
750033,57.922657
750034,21.309175
750035,19.58216
750036,12.952124
750037,37.79577
750038,23.506681
750039,22.575823
750040,14.338631
750041,85.99117
750042,66.491035
750043,67.752975
750044,52.575527
750045,19.123592
750046,14.217766
750047,50.96101
750048,15.647383
750049,6.807331
750050,85.85101
750051,22.329222
750052,41.117172
750053,79.56183
750054,13.575873
750055,16.131865
750056,70.150536
750057,55.9335
750058,19.405542
750059,935.0429
750060,46.721283
750061,34.62634
750062,73.24371
750063,74.72939
750064,46.63296
750065,15.862182
750066,64.865265
750067,43.525448
750068,58.21121
750069,44.780285
750070,35.685783
750071,938.3693
750072,944.2768
750073,26.522009
750074,40.86778
750075,89.01684
750076,14.337539
750077,11.1167
750078,76.65572
750079,78.44341
750080,934.08655
750081,88.30668
750082,15.633568
750083,77.92138
750084,76.23009
750085,62.668034
750086,56.219975
750087,87.037056
750088,11.515654
750089,45.588528
750090,62.989647
750091,80.876366
750092,35.617393
750093,33.068077
750094,52.94071
750095,29.99649
750096,5.1119585
750097,28.393555
750098,34.104137
750099,13.496469
750100,953.36237
750101,51.16786
750102,48.626232
750103,944.5494
750104,33.242516
750105,31.805925
750106,30.954445
750107,84.589
750108,60.950138
750109,36.548023
750110,51.66738
750111,21.701464
750112,4.9813533
750113,73.29075
750114,55.64946
750115,81.78873
750116,85.69004
750117,68.486496
750118,48.9686
750119,22.234133
750120,4.76757
750121,55.76329
750122,79.211105
750123,61.109943
750124,32.970364
750125,20.056757
750126,63.779716
750127,4.57708
750128,6.5879955
750129,17.024914
750130,40.383095
750131,31.559933
750132,5.8040147
750133,45.390583
750134,74.61067
750135,30.735178
750136,944.4216
750137,11.261299
750138,87.241554
750139,61.499813
750140,53.959698
750141,948.0695
750142,50.329205
750143,29.93624
750144,60.37061
750145,55.258617
750146,72.250755
750147,68.378654
750148,949.4408
750149,7.6020117
750150,23.75266
750151,953.54425
750152,52.82557
750153,940.1734
750154,59.261806
750155,14.496813
750156,3.9429188
750157,65.761314
750158,18.24021
750159,34.691814
750160,55.914707
750161,46.101242
750162,58.41499
750163,17.409906
750164,79.62716
750165,84.95134
750166,74.40101
750167,83.42704
750168,54.80316
750169,944.82526
750170,54.745842
750171,37.352886
750172,3.274333
750173,36.580853
750174,36.995373
750175,57.7259
750176,95.73477
750177,83.63444
750178,42.520313
750179,5.4984875
750180,82.69291
750181,932.3056
750182,86.72733
750183,34.327297
750184,82.69133
750185,32.19158
750186,81.01379
750187,42.569237
750188,12.658115
750189,20.389526
750190,54.190655
750191,26.088581
750192,32.90765
750193,27.956934
750194,936.0972
750195,943.49554
750196,27.935167
750197,8.886526
750198,19.697271
750199,37.94843
750200,950.6609
750201,70.63985
750202,37.05472
750203,52.87218
750204,62.9073
750205,30.648958
750206,19.862366
750207,52.263256
750208,33.812992
750209,43.664745
750210,54.63933
750211,53.57973
750212,56.49326
750213,61.807285
750214,32.388683
750215,65.183464
750216,72.636604
750217,959.6431
750218,9.570245
750219,34.8374
750220,942.76685
750221,30.15528
750222,36.044605
750223,31.773802
750224,70.44312
750225,3.1647284
750226,80.86787
750227,69.05363
750228,36.633915
750229,25.913618
750230,943.4494
750231,26.810923
750232,53.856926
750233,67.724525
750234,22.366241
750235,19.358566
750236,45.169697
750237,32.937912
750238,23.42854
750239,19.689125
750240,84.0445
750241,78.079735
750242,18.074015
750243,940.03644
750244,16.308748
750245,47.820446
750246,429.1063
750247,86.172844
750248,15.5004015
750249,84.45925
750250,52.37311
750251,31.545912
750252,47.19396
750253,76.30854
750254,46.15746
750255,25.807222
750256,48.642124
750257,31.36614
750258,9.085643
750259,23.725346
750260,38.320522
750261,48.705074
750262,55.757206
750263,57.487732
750264,29.434177
750265,77.92954
750266,13.949816
750267,18.267025
750268,6.3681393
750269,6.939193
750270,45.751682
750271,59.33742
750272,3.3728256
750273,30.033209
750274,47.33411
750275,57.840107
750276,59.76895
750277,10.147502
750278,937.83044
750279,19.6747
750280,938.10785
750281,43.90162
750282,57.01576
750283,76.51551
750284,48.70795
750285,31.368727
750286,6.0051756
750287,72.360954
750288,30.030848
750289,8.247773
750290,59.31966
750291,55.980877
750292,76.30358
750293,77.70986
750294,945.2071
750295,52.625637
750296,28.74013
750297,10.643465
750298,50.065937
750299,83.61433
750300,949.0059
750301,13.355018
750302,33.422386
750303,15.070988
750304,938.0807
750305,83.255
750306,955.8508
750307,16.111609
750308,60.056004
750309,15.885346
750310,14.0640955
750311,59.622738
750312,953.9531
750313,74.39174
750314,62.838184
750315,5.034618
750316,79.55655
750317,934.2304
750318,20.885706
750319,21.396933
750320,41.362152
750321,30.21204
750322,43.32864
750323,70.44468
750324,74.01693
750325,59.404377
750326,32.69356
750327,50.71461
750328,19.903566
750329,63.80584
750330,77.00101
750331,30.07978
750332,17.817972
750333,14.641712
750334,24.967566
750335,59.57059
750336,35.694065
750337,81.08791
750338,34.31595
750339,77.33788
750340,34.97083
750341,13.185731
750342,33.72871
750343,14.80892
750344,22.653246
750345,49.371983
750346,76.30871
750347,87.46783
750348,54.873363
750349,16.911732
750350,83.15185
750351,20.988876
750352,75.31147
750353,44.45476
750354,60.375343
750355,37.1361
750356,83.69484
750357,36.45446
750358,66.642845
750359,943.9659
750360,70.50846
750361,47.343937
750362,15.466953
750363,71.64887
750364,32.20843
750365,82.8928
750366,928.7011
750367,67.5072
750368,72.227
750369,57.2709
750370,73.5493
750371,19.325117
750372,52.12093
750373,19.249903
750374,58.317585
750375,45.509754
750376,17.63094
750377,65.90006
750378,47.467617
750379,8.542957
750380,19.339323
750381,16.534157
750382,77.975914
750383,934.5224
750384,79.59092
750385,44.88413
750386,39.81189
750387,9.29536
750388,21.647978
750389,20.165924
750390,942.7794
750391,19.979898
750392,72.36504
750393,9.8151655
750394,59.131935
750395,60.66856
750396,43.723194
750397,12.736444
750398,74.26154
750399,34.67767
750400,14.284429
750401,78.90917
750402,80.710686
750403,18.393343
750404,17.299864
750405,17.427912
750406,19.901361
750407,937.4308
750408,70.9793
750409,17.944887
750410,53.841156
750411,36.579987
750412,25.340746
750413,36.996696
750414,50.262787
750415,936.1525
750416,72.956
750417,64.97242
750418,31.008396
750419,32.885735
750420,949.274
750421,48.099346
750422,8.071746
750423,44.2257
750424,52.37176
750425,74.14004
750426,66.18479
750427,3.8782167
750428,89.95442
750429,3.1647284
750430,64.08985
750431,45.35079
750432,51.56616
750433,20.892706
750434,5.0456243
750435,76.40435
750436,57.569057
750437,43.66533
750438,48.141872
750439,14.808281
750440,938.44586
750441,3.1647284
750442,77.07848
750443,67.17919
750444,38.605442
750445,73.21563
750446,49.0142
750447,66.94576
750448,51.559322
750449,21.171234
750450,72.33773
750451,80.10234
750452,78.00296
750453,21.98137
750454,41.70222
750455,68.7071
750456,6.7949495
750457,28.592106
750458,48.750416
750459,17.978422
750460,8.951962
750461,83.390495
750462,54.05128
750463,84.84939
750464,38.862408
750465,72.02903
750466,6.3939075
750467,43.30621
750468,45.97503
750469,16.957788
750470,56.58903
750471,17.555962
750472,51.8682
750473,14.212351
750474,25.013664
750475,3.1647284
750476,13.770208
750477,3.1647284
750478,36.74083
750479,15.883737
750480,5.4680176
750481,51.47098
750482,81.88425
750483,950.04443
750484,77.76057
750485,940.36005
750486,69.9802
750487,72.662056
750488,26.233286
750489,82.86947
750490,60.06876
750491,31.332588
750492,956.50385
750493,31.803484
750494,82.62643
750495,47.51345
750496,83.07717
750497,30.529524
750498,3.878702
750499,69.39651
750500,31.612646
750501,10.469403
750502,62.677746
750503,44.397038
750504,65.61169
750505,952.6152
750506,60.946796
750507,6.8410463
750508,5.2337227
750509,934.3964
750510,63.504223
750511,36.259594
750512,3.302337
750513,28.83915
750514,59.806988
750515,5.8583755
750516,3.80053
750517,942.36597
750518,74.17455
750519,66.78965
750520,27.666178
750521,79.66447
750522,937.47943
750523,7.2390127
750524,68.25811
750525,28.899221
750526,45.908817
750527,11.021811
750528,67.725365
750529,89.39103
750530,37.43735
750531,36.691925
750532,52.34267
750533,57.069225
750534,25.925978
750535,3.1647284
750536,8.226826
750537,45.35406
750538,948.0102
750539,78.28167
750540,24.679733
750541,939.8185
750542,85.47337
750543,70.48812
750544,24.18637
750545,66.13128
