id,Listening_Time_minutes
750000,43.57432
750001,37.63537
750002,36.122955
750003,78.26929
750004,47.14752
750005,39.711014
750006,83.03655
750007,45.02888
750008,51.0653
750009,65.35157
750010,36.36638
750011,48.69784
750012,47.95298
750013,79.7739
750014,58.54957
750015,43.714096
750016,100.47845
750017,45.667183
750018,47.1582
750019,37.784416
750020,47.695835
750021,42.51609
750022,70.753456
750023,45.285564
750024,44.276405
750025,90.64768
750026,38.409935
750027,47.740974
750028,86.97863
750029,92.47465
750030,47.459114
750031,44.83396
750032,48.233795
750033,44.531178
750034,52.598667
750035,40.311443
750036,33.963425
750037,46.361023
750038,52.440334
750039,39.07277
750040,32.010445
750041,69.744675
750042,60.267864
750043,45.30313
750044,41.51893
750045,40.624496
750046,41.57866
750047,54.799904
750048,49.550644
750049,37.62948
750050,89.08777
750051,42.152927
750052,35.391346
750053,72.89642
750054,46.398224
750055,42.677547
750056,56.262268
750057,41.206074
750058,40.907463
750059,76.520966
750060,41.133743
750061,44.690094
750062,52.317673
750063,67.0914
750064,37.63352
750065,31.35934
750066,59.5867
750067,39.69882
750068,37.08261
750069,43.85094
750070,46.43004
750071,89.659355
750072,94.287315
750073,51.133797
750074,32.00629
750075,78.55592
750076,38.89588
750077,45.31234
750078,77.35504
750079,79.50708
750080,96.03415
750081,90.48885
750082,35.729103
750083,71.69546
750084,83.363045
750085,38.27648
750086,35.27171
750087,101.47086
750088,36.604053
750089,37.675144
750090,33.224308
750091,71.86935
750092,40.73862
750093,47.962902
750094,46.130974
750095,46.24115
750096,12.192084
750097,44.070683
750098,47.52602
750099,36.751717
750100,81.31304
750101,43.60125
750102,42.026817
750103,79.56576
750104,40.80034
750105,48.052242
750106,49.883907
750107,85.31375
750108,43.965157
750109,37.28176
750110,39.643406
750111,45.4933
750112,10.567124
750113,78.820465
750114,55.447952
750115,77.81993
750116,70.942894
750117,50.492226
750118,32.12262
750119,48.90676
750120,24.285963
750121,39.572567
750122,55.28948
750123,45.485615
750124,39.95714
750125,45.874294
750126,30.356787
750127,20.138622
750128,37.08249
750129,36.802498
750130,38.731575
750131,44.112633
750132,16.241554
750133,47.02864
750134,72.37259
750135,51.50878
750136,93.58612
750137,37.08445
750138,93.67604
750139,38.681583
750140,38.829235
750141,99.82115
750142,41.50848
750143,40.042442
750144,43.25208
750145,43.763462
750146,62.20551
750147,50.751183
750148,97.52704
750149,41.22804
750150,40.851704
750151,91.32915
750152,39.417274
750153,94.37063
750154,43.98067
750155,40.444443
750156,16.257442
750157,50.94902
750158,37.20221
750159,55.076275
750160,55.89653
750161,35.19185
750162,48.133907
750163,43.026375
750164,81.08168
750165,89.40008
750166,57.93624
750167,84.512825
750168,44.161293
750169,96.37233
750170,49.278206
750171,43.160183
750172,18.710772
750173,40.387215
750174,45.03393
750175,29.363863
750176,100.78526
750177,81.200165
750178,42.57275
750179,11.44418
750180,88.83437
750181,99.48686
750182,86.098335
750183,34.58672
750184,64.41363
750185,46.73973
750186,86.552986
750187,34.398396
750188,36.97917
750189,51.473335
750190,46.390945
750191,41.363037
750192,44.88167
750193,41.732292
750194,90.40286
750195,103.29086
750196,40.749435
750197,40.246162
750198,38.640972
750199,53.459362
750200,100.9244
750201,37.389248
750202,34.712254
750203,36.42236
750204,54.569912
750205,48.16985
750206,40.296024
750207,46.341892
750208,47.456238
750209,28.1226
750210,50.608864
750211,49.45338
750212,55.000134
750213,44.716698
750214,50.285725
750215,59.696114
750216,57.718582
750217,98.20873
750218,48.46557
750219,53.18452
750220,85.388054
750221,47.6039
750222,48.310875
750223,53.51923
750224,63.59908
750225,22.062426
750226,78.9015
750227,63.096394
750228,37.088257
750229,56.165745
750230,84.686
750231,44.648453
750232,38.907047
750233,34.937157
750234,47.111702
750235,46.30764
750236,40.271122
